category,source,image_id,image_path,prompt,ground_truth
counting,coco,253386,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_253386.jpg,How many people are visible in this image? Answer with a number.,2
counting,coco,228214,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_228214.jpg,How many people are visible in this image? Answer with a number.,4
counting,coco,47112,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_47112.jpg,How many chairs are visible in this image? Answer with a number.,8
counting,coco,428867,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_428867.jpg,How many chairs are visible in this image? Answer with a number.,2
counting,coco,301376,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_301376.jpg,How many cars are visible in this image? Answer with a number.,7
counting,coco,343976,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_343976.jpg,How many cars are visible in this image? Answer with a number.,6
counting,coco,246968,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_246968.jpg,How many bottles are visible in this image? Answer with a number.,8
counting,coco,555009,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_555009.jpg,How many bottles are visible in this image? Answer with a number.,2
counting,coco,560256,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_560256.jpg,How many bananas are visible in this image? Answer with a number.,6
counting,coco,491216,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_491216.jpg,How many bananas are visible in this image? Answer with a number.,2
counting,coco,154431,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_154431.jpg,How many books are visible in this image? Answer with a number.,7
counting,coco,446005,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_446005.jpg,How many books are visible in this image? Answer with a number.,2
counting,coco,419201,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_419201.jpg,How many birds are visible in this image? Answer with a number.,4
counting,coco,459500,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_459500.jpg,How many birds are visible in this image? Answer with a number.,2
counting,coco,88040,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_88040.jpg,How many cups are visible in this image? Answer with a number.,2
counting,coco,376093,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_376093.jpg,How many cups are visible in this image? Answer with a number.,4
counting,coco,309391,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_309391.jpg,How many bicycles are visible in this image? Answer with a number.,2
counting,coco,122166,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_122166.jpg,How many bicycles are visible in this image? Answer with a number.,2
counting,coco,231527,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_231527.jpg,How many oranges are visible in this image? Answer with a number.,5
counting,coco,523100,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_523100.jpg,How many oranges are visible in this image? Answer with a number.,4
object_recognition,coco,367195,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_367195.jpg,Is there a dog in this image? Answer yes or no.,yes
object_recognition,coco,117908,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_117908.jpg,Is there a cat in this image? Answer yes or no.,yes
object_recognition,coco,76416,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_76416.jpg,Is there a bus in this image? Answer yes or no.,yes
object_recognition,coco,196754,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_196754.jpg,Is there a stop sign in this image? Answer yes or no.,yes
object_recognition,coco,440507,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_440507.jpg,Is there a umbrella in this image? Answer yes or no.,yes
object_recognition,coco,494634,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_494634.jpg,Is there a laptop in this image? Answer yes or no.,yes
object_recognition,coco,466986,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_466986.jpg,Is there a microwave in this image? Answer yes or no.,yes
object_recognition,coco,500257,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_500257.jpg,Is there a backpack in this image? Answer yes or no.,yes
object_recognition,coco,118209,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_118209.jpg,Is there a horse in this image? Answer yes or no.,yes
object_recognition,coco,13348,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_13348.jpg,Is there a airplane in this image? Answer yes or no.,yes
object_recognition,coco,123213,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_123213.jpg,Is there a dog in this image? Answer yes or no.,no
object_recognition,coco,322959,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_322959.jpg,Is there a cat in this image? Answer yes or no.,no
object_recognition,coco,296657,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_296657.jpg,Is there a bus in this image? Answer yes or no.,no
object_recognition,coco,366141,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_366141.jpg,Is there a umbrella in this image? Answer yes or no.,no
object_recognition,coco,12576,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_12576.jpg,Is there a laptop in this image? Answer yes or no.,no
object_recognition,coco,244833,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_244833.jpg,Is there a backpack in this image? Answer yes or no.,no
object_recognition,coco,221017,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_221017.jpg,Is there a horse in this image? Answer yes or no.,no
object_recognition,coco,306437,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_306437.jpg,Is there a airplane in this image? Answer yes or no.,no
object_recognition,coco,455267,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_455267.jpg,Is there a bicycle in this image? Answer yes or no.,no
object_recognition,coco,461009,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/object_recognition/coco_461009.jpg,Is there a car in this image? Answer yes or no.,no
spatial_relation,visual_genome,2344899,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2344899.jpg,Where is the person relative to the vest? Answer with a short relation.,wearing
spatial_relation,visual_genome,2373829,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2373829.jpg,Where is the letters relative to the card? Answer with a short relation.,on
spatial_relation,visual_genome,2404894,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2404894.jpg,Where is the man relative to the shirt? Answer with a short relation.,wearing
spatial_relation,visual_genome,2410352,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2410352.jpg,Where is the surfboard relative to the beach? Answer with a short relation.,on
spatial_relation,visual_genome,2367624,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2367624.jpg,Where is the woman relative to the sidewalk? Answer with a short relation.,on
spatial_relation,visual_genome,2334544,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2334544.jpg,Where is the mouth relative to the sheep? Answer with a short relation.,on
spatial_relation,visual_genome,2333304,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2333304.jpg,Where is the book relative to the bed? Answer with a short relation.,on
spatial_relation,visual_genome,2411525,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2411525.jpg,Where is the man relative to the sweater? Answer with a short relation.,wearing
spatial_relation,visual_genome,2377243,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2377243.jpg,Where is the leaves relative to the bush? Answer with a short relation.,on
spatial_relation,visual_genome,2394619,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2394619.jpg,Where is the person relative to the blue jeans? Answer with a short relation.,wearing
spatial_relation,visual_genome,2331849,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2331849.jpg,Where is the window relative to the door? Answer with a short relation.,on
spatial_relation,visual_genome,2318435,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2318435.jpg,Where is the window relative to the building? Answer with a short relation.,on
spatial_relation,visual_genome,2415812,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2415812.jpg,Where is the garlic relative to the pizza? Answer with a short relation.,on
spatial_relation,visual_genome,2324179,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2324179.jpg,Where is the rocks relative to the tracks? Answer with a short relation.,near
spatial_relation,visual_genome,2394109,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2394109.jpg,Where is the man relative to the hat? Answer with a short relation.,wearing
spatial_relation,visual_genome,2348596,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2348596.jpg,Where is the napkin relative to the table? Answer with a short relation.,on
spatial_relation,visual_genome,2357875,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/spatial_relation/vg_2357875.jpg,Where is the man relative to the shirt? Answer with a short relation.,wearing
