category,source,run_id,image_id,image_path,base,prompt,ground_truth,model_response,correct,confidence_score,notes,run_id
counting,coco,1,47112,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_47112.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many chairs are visible in this image? Answer with a number.,8,7,0,68,,1
counting,coco,2,88040,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_88040.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many cups are visible in this image? Answer with a number.,2,3,0,100,,2
counting,coco,3,122166,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_122166.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many bicycles are visible in this image? Answer with a number.,2,1,0,100,,3
counting,coco,4,154431,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_154431.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many books are visible in this image? Answer with a number.,7,2,0,88,,4
counting,coco,5,228214,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_228214.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many people are visible in this image? Answer with a number.,4,4,1,82,,5
counting,coco,6,231527,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_231527.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many oranges are visible in this image? Answer with a number.,5,5,1,86,,6
counting,coco,7,246968,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_246968.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many bottles are visible in this image? Answer with a number.,8,5,0,95,,7
counting,coco,8,253386,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_253386.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many people are visible in this image? Answer with a number.,2,2,1,60,,8
counting,coco,9,301376,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_301376.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many cars are visible in this image? Answer with a number.,7,4,0,88,,9
counting,coco,10,309391,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_309391.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many bicycles are visible in this image? Answer with a number.,2,1,0,96,,10
counting,coco,11,343976,/Users/mason/Documents/UConn_Workspace/AI-Hallucination-Security/benign_only/images/counting/coco_343976.jpg,"Answer only the question asked. Use only what is clearly visible in the image. Do not guess. Do not explain. Keep the answer short. After the answer, give a confidence score from 0 to 100. Question:",How many cars are visible in this image? Answer with a number.,6,0,0,92,,11
